ID,Label,Parent,Equivalent Class,has characteristic,Definition,term editor,has cross-reference
OLAS:3719229,129.Cg-L1cam<tm1.1Vlem>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3719229
OLAS:5763179,129.Cg-L1cam<tm1(tTA)Msch>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5763179
OLAS:3719225,129.Cg-L1cam<tm1Vlem>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3719225
OLAS:6143638,"129.Cg-Map2k1<tm1(Map2k1,Map2k2)Chrn>/Mmnc",laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6143638
OLAS:5438962,129(Cg)-Mapk3<tm1Gela>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5438962
OLAS:6353016,129(Cg)-Numb<tm1Zili>/Numb<tm1.1Zili> Numbl<tm1Zili>/Numbl<tm1.1Zili>/SiecRbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6353016
OLAS:5317199,129.Cg-Pax6<Sey> Tg(Hbb-b1)83Clo/WsH,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5317199
OLAS:6145576,129.Cg-Pax7<tm1Pgr>/NahRbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6145576
OLAS:6145577,129.Cg-Pax7<tm2Pgr>/NahRbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6145577
OLAS:3576323,129.Cg-Ppia<tm1Lubn>/J,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3576323
OLAS:6146294,129(Cg)-Rax<tm1.1Tfur>/TfurRbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6146294
OLAS:5467590,129.Cg-Rdh13<tm1Xuxn>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5467590
OLAS:5311395,129.Cg-Smpd3<fro>/Orl,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5311395
OLAS:6423857,129(Cg)-Synb<tm1.2Ics>/Orl,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6423857
OLAS:6121775,129(Cg)-Tecta<tm3.1Gpr>/GprH,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6121775
OLAS:6121777,129(Cg)-Tecta<tm4.1Gpr>/GprH,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6121777
OLAS:6121776,129(Cg)-Tecta<tm5.1Gpr>/GprH,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6121776
OLAS:4458873,129.Cg-Tfr2<tm1.1Anro>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:4458873
OLAS:6146205,129.Cg-Tg(Crx-cre)1Tfur/TfurRbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6146205
OLAS:6146206,129.Cg-Tg(Dkk3-cre)D9Tfur/TfurRbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6146206
OLAS:3813646,"129.Cg-Tg(H2-K-Fosl2,-EGFP)13Wag",laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3813646
OLAS:5320340,129.Cg-Tgm2<tm1Gml> Apoe<tm1Bres>/CljH[cc],laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5320340
OLAS:6332600,129.Cg-Tgm2<tm2.1Rmgr>/Apb,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6332600
OLAS:6353014,129.Cg-Tg(Pou5f1*-EGFP)48Ymat/Rbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6353014
OLAS:6770425,129.Cg-Tg(Th-MYCN)41Waw/Kkad,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6770425
OLAS:5897836,129.Cg-Tg(TPO-cre)1Shk Trp53<tm1Brn> Pten<tm2.1Ppp>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5897836
OLAS:5708683,129-Col15a1<tm1Pih>/Oulu,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5708683
OLAS:6146129,129-Col19a1<tm1Rmz>/Rbrc,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6146129
OLAS:2162268,129-Col4a3<tm1Dec>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2162268
OLAS:6333150,129-Col4a6<tm1Jrs>/Jrs,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6333150
OLAS:5661873,129-Comt<tm1(COMT)Xzho>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5661873
OLAS:5661876,129-Comt<tm2(COMT)Xzho>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5661876
OLAS:5052153,129-Crmp1<tm1Pako> Dpysl4<tm1Ttq>/J,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5052153
OLAS:7571068,129-Crmp1<tm1Pako>/Orl,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571068
OLAS:2164489,129-Cstb<tm1Rm>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164489
OLAS:6332135,129(C)-Tgm2<tm1.1Rmgr>/Apb,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:6332135
OLAS:3716300,129-Ctsg<tm1.1Roes>/H,laboratory mouse,,,,Oliver He|Jie Zheng|Leo Yeh,MGI:3716300
OLAS:2174348,129-Cyp1a2<tm1Gonz>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2174348
OLAS:5559338,129-Cyp2c23<Gt(OST85045)Lex>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5559338
OLAS:3695397,129-Dag1<tm2Kcam>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3695397
OLAS:3840278,129-Daxx<tm2Led>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3840278
OLAS:5561114,129-Del(16Tiam1-Il10rb)9Yey/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5561114
OLAS:5428040,129-Del(16Tiam1-Kcnj6)7Yey/Dp(16Tiam1-Kcnj6)6Yey/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5428040
OLAS:5451077,129-Del(9Casp1-Casp4)1Bhk,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5451077
OLAS:5561123,129-Dp(16Ifnar1-Kcnj6)10Yey/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5561123
OLAS:5561113,129-Dp(16Tiam1-Il10rb)8Yey/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5561113
OLAS:5428041,129-Dp(16Tiam1-Kcnj6)6Yey/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:5428041
OLAS:7570951,129-Dpysl4<tm1Ttq>/Orl,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7570951
OLAS:7571082,129-Dpysl5<tm1Gosh>/Orl,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:7571082
OLAS:2669493,129/Dr,laboratory mouse,,inbred,,Oliver He|Jie Zheng|Leo Yeh,MGI:2669493
OLAS:6146152,129.DW-Tpst2<grt>/HkvRbrc,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6146152
OLAS:3695388,129-Dysf<tm1Kcam>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3695388
OLAS:3806968,129-E2f3<tm1.1Gle>,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3806968
OLAS:2164581,129-Edn3<tm1Ywa>/J,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:2164581
OLAS:3840446,129-Eif2s2<Gt(XH413)Byg> Chr 19<MOLF/Ei>,laboratory mouse,,congenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:3840446
OLAS:6331806,129-Elane<tm1(cre)Roes>/Apb,laboratory mouse,,coisogenic,,Oliver He|Jie Zheng|Leo Yeh,MGI:6331806
